collision_index,longitude,latitude,collision_severity,collision_year
2024010526297,-0.02419,51.41298,3,2024
2022010371164,-0.151312,51.543042,3,2022
2023010457412,-0.124999,51.540772,3,2023
2024010512169,-0.14537,51.54154,3,2024
2022010374668,-0.001978,51.338598,3,2022
2023010463218,-0.092577,51.385172,2,2023
2023010480151,-0.069119,51.382162,2,2023
2024010493323,-0.32108,51.50349,3,2024
2024010496452,-0.27941,51.50464,3,2024
2023010474594,0.052261,51.450926,3,2023
2022010414108,-0.075295,51.549895,3,2022
2024010507360,-0.07435,51.55723,3,2024
2024010542366,-0.10603,51.58126,3,2024
2022010384857,-0.11409,51.544437,3,2022
2022010376794,-0.175679,51.484361,3,2022
2023010449318,-0.185776,51.480363,2,2023
2022010387581,-0.303045,51.412877,2,2022
2024010513092,-0.13913,51.47042,2,2024
2024010521032,-0.14334,51.46243,2,2024
2022010396247,-0.046235,51.479416,3,2022
2022010384059,-0.06477,51.462745,3,2022
2023010440587,-0.108046,51.500654,3,2023
2023010457742,-0.066475,51.474158,3,2023
2024010529160,-0.0771,51.5029,3,2024
2024010528732,-0.15771,51.37839,3,2024
2022010407180,-0.211091,51.453937,2,2022
2023010453207,-0.148015,51.449072,3,2023
2022010395501,-0.121873,51.507072,3,2022
2022010412946,-0.127193,51.508407,3,2022
2023010431285,-0.121779,51.510407,3,2023
2023010482498,-0.203042,51.532776,3,2023
2022302200164,-1.436565,53.238371,2,2022
2024501525821,-3.51774,50.73945,2,2024
2022421160107,0.912891,51.834604,3,2022
2022421205115,0.401953,51.634604,2,2022
2022461157245,0.374199,51.441366,3,2022
2022461232734,1.2871,51.118496,3,2022
2023461288815,0.887786,51.311686,2,2023
2023041296226,-2.696646,53.698197,3,2023
2023041367553,-2.677697,53.767803,2,2023
2024041472552,-2.71114,53.75983,3,2024
2023332301263,-1.042817,52.628585,2,2023
2024332401042,-1.07098,52.59307,3,2024
2022320281577,-0.170239,53.102521,3,2022
2022320585742,-0.597937,53.018123,2,2022
2023361288751,1.302502,52.628488,2,2023
2022311168438,-0.800331,53.073744,3,2022
2022430447392,-1.330528,52.057148,3,2022
2024211476227,-2.24325,53.01887,2,2024
2022471144159,-0.321059,51.07458,3,2022
2022471199345,-0.378241,50.815299,3,2022
2023471359358,-0.163102,51.117925,2,2023
2024221529875,-2.10639,52.03041,3,2024
2022991167296,-3.284527,55.929681,2,2022
2023991274070,-2.660503,56.732191,3,2023
