"count_point_id","year","region_id","region_name","local_authority_id","local_authority_name","road_name","road_type","start_junction_road_name","end_junction_road_name","easting","northing","latitude","longitude","link_length_km","link_length_miles","estimation_method","estimation_method_detailed","pedal_cycles","two_wheeled_motor_vehicles","cars_and_taxis","buses_and_coaches","lgvs","hgvs_2_rigid_axle","hgvs_3_rigid_axle","hgvs_4_or_more_rigid_axle","hgvs_3_or_4_articulated_axle","hgvs_5_articulated_axle","hgvs_6_articulated_axle","all_hgvs","all_motor_vehicles"
6426,2012,6,"London",109,"Westminster","A40","Major","Orchard St","Regent St",528500,181100,51.51422052,-0.14952830,0.8,0.5,"Estimated","Estimated using AADF from previous year on this link",1114,86,1170,5126,163,33,1,0,1,0,0,35,6579
6426,2013,6,"London",109,"Westminster","A40","Major","Orchard St","Regent St",528500,181100,51.51422052,-0.14952830,0.8,0.5,"Estimated","Estimated using AADF from previous year on this link",920,82,1125,4984,170,35,1,0,1,0,0,37,6399
6426,2014,6,"London",109,"Westminster","A40","Major","Orchard St","Regent St",528500,181100,51.51422052,-0.14952830,0.8,0.5,"Estimated","Estimated using AADF from previous year on this link",923,84,1164,4829,177,35,1,0,1,0,0,37,6290
6426,2015,6,"London",109,"Westminster","A40","Major","Orchard St","Regent St",528500,181100,51.51422052,-0.14952830,0.8,0.5,"Estimated","Estimated using AADF from previous year on this link",871,87,1231,4528,170,33,1,0,1,0,0,35,6050
6426,2016,6,"London",109,"Westminster","A40","Major","Orchard St","Regent St",528500,181100,51.51422052,-0.14952830,0.8,0.5,"Counted","Manual count",1833,179,5646,3801,246,30,7,1,2,0,0,40,9914
6426,2017,6,"London",109,"Westminster","A40","Major","Orchard St","Regent St",528500,181100,51.51422052,-0.14952830,0.8,0.5,"Estimated","Estimated using AADF from previous year on this link",1790,186,5645,3649,244,29,8,1,2,0,0,40,9763
6426,2018,6,"London",109,"Westminster","A40","Major","Orchard St","Regent St",528500,181100,51.51422052,-0.14952830,0.8,0.5,"Estimated","Estimated using AADF from previous year on this link",1768,187,5640,3511,249,30,8,1,2,0,0,40,9627
6426,2019,6,"London",109,"Westminster","A40","Major","Orchard St","Regent St",528500,181100,51.51422052,-0.14952830,0.8,0.5,"Estimated","Estimated using AADF from previous year on this link",1657,198,5654,3489,249,29,8,1,2,0,0,40,9630
6426,2020,6,"London",109,"Westminster","A40","Major","Orchard St","Regent St",528500,181100,51.51422052,-0.14952830,0.8,0.5,"Estimated","Estimated using AADF from previous year on this link",2050,151,4286,2909,217,26,6,1,2,0,0,34,7597
6426,2021,6,"London",109,"Westminster","A40","Major","Orchard St","Regent St",528500,181100,51.51422052,-0.14952830,0.8,0.5,"Estimated","Estimated using AADF from previous year on this link",1831,172,4624,2933,232,27,7,1,2,0,0,37,7997
6426,2022,6,"London",109,"Westminster","A40","Major","Orchard St","Regent St",528500,181100,51.51422052,-0.14952830,0.8,0.5,"Estimated","Estimated using AADF from previous year on this link",1875,198,4750,2969,251,29,7,1,2,0,0,39,8207
6426,2023,6,"London",109,"Westminster","A40","Major","Orchard St","Regent St",528500,181100,51.51422052,-0.14952830,0.8,0.5,"Estimated","Estimated using AADF from previous year on this link",1923,201,4740,2993,256,29,7,1,2,0,0,38,8228
6426,2024,6,"London",109,"Westminster","A40","Major","Orchard St","Regent St",528500,181100,51.51422052,-0.14952830,0.8,0.5,"Estimated","Estimated using AADF from previous year on this link",2149,210,4712,3023,257,29,7,1,2,0,0,38,8240
6426,2025,6,"London",109,"Westminster","A40","Major","Orchard St","Regent St",528500,181100,51.51422052,-0.14952830,0.8,0.5,"Estimated","Estimated using AADF from previous year on this link",2333,210,4661,3060,258,28,7,1,2,0,0,38,8227
6459,2000,6,"London",109,"Westminster","A41","Major","York St","Portman Sq (north)",528000,181700,51.51972609,-0.15651218,0.5,0.3,"Estimated","Estimated using AADF from previous year on this link",331,909,12414,1032,1827,319,25,16,13,7,8,388,16570
6459,2001,6,"London",109,"Westminster","A41","Major","York St","Portman Sq (north)",528000,181700,51.51972609,-0.15651218,0.5,0.3,"Estimated","Estimated using AADF from previous year on this link",343,1024,11607,1027,1822,294,27,15,12,6,10,364,15844
6459,2002,6,"London",109,"Westminster","A41","Major","York St","Portman Sq (north)",528000,181700,51.51972609,-0.15651218,0.5,0.3,"Counted","Manual count",425,733,12593,1235,1361,325,17,6,21,6,5,380,16302
6459,2003,6,"London",109,"Westminster","A41","Major","York St","Portman Sq (north)",528000,181700,51.51972609,-0.15651218,0.5,0.3,"Counted","Manual count",276,793,10578,1303,1169,213,19,8,25,3,3,271,14114
6459,2004,6,"London",109,"Westminster","A41","Major","York St","Portman Sq (north)",528000,181700,51.51972609,-0.15651218,0.5,0.3,"Estimated","Estimated using AADF from previous year on this link",393,1029,11508,1406,1247,200,19,9,28,3,4,263,15453
6459,2005,6,"London",109,"Westminster","A41","Major","York St","Portman Sq (north)",528000,181700,51.51972609,-0.15651218,0.5,0.3,"Counted","Manual count",415,751,8907,1369,1020,194,28,5,3,37,0,267,12314
6459,2006,6,"London",109,"Westminster","A41","Major","York St","Portman Sq (north)",528000,181700,51.51972609,-0.15651218,0.5,0.3,"Counted","Manual count",365,947,8777,1506,1593,180,23,26,28,14,6,277,13100
6459,2007,6,"London",109,"Westminster","A41","Major","York St","Portman Sq (north)",528000,181700,51.51972609,-0.15651218,0.5,0.3,"Estimated","Estimated using AADF from previous year on this link",308,786,7987,1569,1532,193,25,31,27,15,8,299,12173
6459,2008,6,"London",109,"Westminster","A41","Major","York St","Portman Sq (north)",528000,181700,51.51972609,-0.15651218,0.5,0.3,"Estimated","Estimated using AADF from previous year on this link",302,734,7700,1666,1434,189,27,32,25,14,8,295,11829
6459,2009,6,"London",109,"Westminster","A41","Major","York St","Portman Sq (north)",528000,181700,51.51972609,-0.15651218,0.5,0.3,"Estimated","Estimated using AADF from previous year on this link",307,685,7461,1739,1342,174,27,31,21,11,7,271,11498
6459,2010,6,"London",109,"Westminster","A41","Major","York St","Portman Sq (north)",528000,181700,51.51972609,-0.15651218,0.5,0.3,"Estimated","Estimated using AADF from previous year on this link",334,643,7237,1854,1292,183,27,27,24,10,7,278,11304
