"count_point_id","region_id","region_name","local_authority_id","local_authority_name","road_name","road_type","start_junction_road_name","end_junction_road_name","easting","northing","latitude","longitude","link_length_km","link_length_miles"
97182,6,"London",109,"Westminster","A302","Major","Buckingham Palace Rd/Victoria St","lower Grosvenor Place",528830,179180,51.49689052,-0.14547629,0.1,0.1
97183,6,"London",109,"Westminster","A3214","Major","Buckingham Palace Rd/Victoria St","lower Grosvenor Place",528800,179150,51.49662774,-0.14591917,0.1,0.1
97184,6,"London",109,"Westminster","A3214","Major","Buckingham Palace Rd/Victoria St","lower Grosvenor Place",528865,179130,51.49643321,-0.14499062,0.1,0.1
97230,6,"London",109,"Westminster","A3213","Major","A3214","A202",529300,178500,51.49067223,-0.13895830,1.2,0.7
97231,6,"London",109,"Westminster","A3213","Major","A3214","A202",528840,178830,51.49374281,-0.14546004,0.2,0.1
804527,6,"London",109,"Westminster","U","Minor",,,527609,181432,51.51740596,-0.16224161,,
804528,6,"London",109,"Westminster","C","Minor",,,525943,181919,51.52215619,-0.18606571,,
804529,6,"London",109,"Westminster","U","Minor",,,527142,181994,51.52256186,-0.16876582,,
804530,6,"London",109,"Westminster","U","Minor",,,528969,180418,51.50798468,-0.14302254,,
811008,6,"London",109,"Westminster","U","Minor",,,527623,181987,51.52239058,-0.16183903,,
811023,6,"London",109,"Westminster","C","Minor",,,529411,177968,51.48586583,-0.13755523,,
811064,6,"London",109,"Westminster","B326","Minor",,,529958,179125,51.49613832,-0.12925589,,
811069,6,"London",109,"Westminster","B402","Minor",,,530388,181166,51.51438151,-0.12231073,,
811112,6,"London",109,"Westminster","B414","Minor",,,525507,183196,51.53372972,-0.19189194,,
900012,6,"London",109,"Westminster","U","Minor",,,529760,178610,51.49155551,-0.13229582,,
930337,6,"London",109,"Westminster","U","Minor",,,524910,182590,51.52841576,-0.20070951,,
930338,6,"London",109,"Westminster","U","Minor",,,529470,180920,51.51238164,-0.13562323,,
942317,6,"London",109,"Westminster","B323","Minor",,,530190,178981,51.49479088,-0.12596878,,
942318,6,"London",109,"Westminster","B413","Minor",,,524503,183076,51.53287335,-0.20640190,,
942319,6,"London",109,"Westminster","B324","Minor",,,529427,178872,51.49398633,-0.13699373,,
942320,6,"London",109,"Westminster","B326","Minor",,,529956,179126,51.49614776,-0.12928431,,
942321,6,"London",109,"Westminster","B506","Minor",,,528973,181712,51.51961283,-0.14249168,,
942323,6,"London",109,"Westminster","B406","Minor",,,528758,181040,51.51362262,-0.14583416,,
942324,6,"London",109,"Westminster","U","Minor",,,526829,183014,51.53179895,-0.17290783,,
942325,6,"London",109,"Westminster","U","Minor",,,529116,178519,51.49088498,-0.14160020,,
942326,6,"London",109,"Westminster","U","Minor",,,527427,181653,51.51943313,-0.16478335,,
942327,6,"London",109,"Westminster","U","Minor",,,530909,181211,51.51466556,-0.11479001,,
942328,6,"London",109,"Westminster","U","Minor",,,526808,183620,51.53724980,-0.17299225,,
942330,6,"London",109,"Westminster","U","Minor",,,525383,181281,51.51654685,-0.19436009,,
942331,6,"London",109,"Westminster","U","Minor",,,525504,181376,51.51737379,-0.19258334,,
942332,6,"London",109,"Westminster","U","Minor",,,525301,182108,51.52399741,-0.19524730,,
942333,6,"London",109,"Westminster","U","Minor",,,526936,182555,51.52764988,-0.17153143,,
942334,6,"London",109,"Westminster","U","Minor",,,525525,181822,51.52137740,-0.19212204,,
942335,6,"London",109,"Westminster","U","Minor",,,525715,180812,51.51225817,-0.18974502,,
942336,6,"London",109,"Westminster","U","Minor",,,529392,181146,51.51443053,-0.13666372,,
942337,6,"London",109,"Westminster","U","Minor",,,528585,178732,51.49292009,-0.14916692,,
942338,6,"London",109,"Westminster","U","Minor",,,527162,180896,51.51268960,-0.16887371,,
942339,6,"London",109,"Westminster","U","Minor",,,528536,179402,51.49895249,-0.14962843,,
948098,6,"London",109,"Westminster","U","Minor",,,528500,180000,51.50433487,-0.14992902,,
948101,6,"London",109,"Westminster","U","Minor",,,529465,179477,51.49941471,-0.13622476,,
951705,6,"London",109,"Westminster","B414","Minor",,,525102,182479,51.52737573,-0.19798255,,
951706,6,"London",109,"Westminster","U","Minor",,,527091,181203,51.51546458,-0.16978569,,
990140,6,"London",109,"Westminster","B507","Minor",,,527207,182194,51.52434465,-0.16775724,,
990670,6,"London",109,"Westminster","U","Minor",,,528500,178561,51.49140262,-0.15045285,,
990672,6,"London",109,"Westminster","U","Minor",,,528883,181838,51.52076570,-0.14374206,,
999990,6,"London",109,"Westminster","B310","Minor",,,528194,179375,51.49878742,-0.15456254,,
